# x	y	u	v	flags	mask
1.8750e-03	5.6250e-03	3.3231e+01	2.1523e+01	1.0000e+00	0.0000e+00
2.1094e-03	5.6250e-03	3.3269e+01	2.1455e+01	1.0000e+00	0.0000e+00
2.3438e-03	5.6250e-03	3.3692e+01	2.1326e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.6250e-03	3.3772e+01	2.1200e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.6250e-03	2.8527e+01	2.1361e+01	1.0000e+00	0.0000e+00
3.0469e-03	5.6250e-03	2.7420e+01	2.2374e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.6250e-03	1.5325e+01	2.2073e+01	0.0000e+00	0.0000e+00
3.5156e-03	5.6250e-03	1.7750e+01	2.1662e+01	1.0000e+00	0.0000e+00
3.7500e-03	5.6250e-03	1.4195e+01	2.1789e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.6250e-03	1.3933e+01	2.1587e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.6250e-03	1.3726e+01	2.1823e+01	0.0000e+00	0.0000e+00
4.4531e-03	5.6250e-03	1.3298e+01	2.1891e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.6250e-03	1.3553e+01	2.1633e+01	0.0000e+00	0.0000e+00
4.9219e-03	5.6250e-03	1.3879e+01	2.1782e+01	0.0000e+00	0.0000e+00
5.1563e-03	5.6250e-03	1.3883e+01	2.1948e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.6250e-03	1.3659e+01	2.1742e+01	1.0000e+00	0.0000e+00
5.6250e-03	5.6250e-03	1.3528e+01	2.1766e+01	0.0000e+00	0.0000e+00
5.8594e-03	5.6250e-03	1.3256e+01	2.1705e+01	0.0000e+00	0.0000e+00
6.0938e-03	5.6250e-03	1.3353e+01	2.1660e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.6250e-03	1.3629e+01	2.1710e+01	0.0000e+00	0.0000e+00
6.5625e-03	5.6250e-03	1.3386e+01	2.1842e+01	0.0000e+00	0.0000e+00
6.7969e-03	5.6250e-03	1.3283e+01	2.1653e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.6250e-03	1.2968e+01	2.1660e+01	0.0000e+00	0.0000e+00
7.2656e-03	5.6250e-03	1.3267e+01	2.1611e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.3906e-03	3.6581e+01	2.1038e+01	0.0000e+00	0.0000e+00
4.6875e-04	5.3906e-03	3.3341e+01	2.1434e+01	1.0000e+00	0.0000e+00
7.0313e-04	5.3906e-03	3.3578e+01	2.1400e+01	1.0000e+00	0.0000e+00
9.3750e-04	5.3906e-03	3.3866e+01	2.1631e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.3906e-03	3.4414e+01	2.1242e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.3906e-03	3.5491e+01	2.1094e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.3906e-03	3.3613e+01	2.1351e+01	1.0000e+00	0.0000e+00
1.8750e-03	5.3906e-03	3.1503e+01	2.1534e+01	0.0000e+00	0.0000e+00
2.1094e-03	5.3906e-03	3.1611e+01	2.1403e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.3906e-03	3.3089e+01	2.1157e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.3906e-03	3.2060e+01	2.1077e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.3906e-03	2.8184e+01	2.1277e+01	1.0000e+00	0.0000e+00
3.0469e-03	5.3906e-03	3.0382e+01	2.2152e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.3906e-03	2.0788e+01	2.1433e+01	1.0000e+00	0.0000e+00
3.5156e-03	5.3906e-03	1.3848e+01	2.2231e+01	0.0000e+00	0.0000e+00
3.7500e-03	5.3906e-03	1.4198e+01	2.2160e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.3906e-03	1.3902e+01	2.1684e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.3906e-03	1.3728e+01	2.1816e+01	1.0000e+00	0.0000e+00
4.4531e-03	5.3906e-03	1.3289e+01	2.1824e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.3906e-03	1.3649e+01	2.1837e+01	0.0000e+00	0.0000e+00
4.9219e-03	5.3906e-03	1.3639e+01	2.1780e+01	1.0000e+00	0.0000e+00
5.1563e-03	5.3906e-03	1.3692e+01	2.1718e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.3906e-03	1.3629e+01	2.1737e+01	1.0000e+00	0.0000e+00
5.6250e-03	5.3906e-03	1.3550e+01	2.1717e+01	1.0000e+00	0.0000e+00
5.8594e-03	5.3906e-03	1.3457e+01	2.1696e+01	1.0000e+00	0.0000e+00
6.0938e-03	5.3906e-03	1.3389e+01	2.1636e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.3906e-03	1.3457e+01	2.1791e+01	0.0000e+00	0.0000e+00
6.5625e-03	5.3906e-03	1.3316e+01	2.1805e+01	0.0000e+00	0.0000e+00
6.7969e-03	5.3906e-03	1.3087e+01	2.1734e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.3906e-03	1.2737e+01	2.1650e+01	0.0000e+00	0.0000e+00
7.2656e-03	5.3906e-03	1.3001e+01	2.1741e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.1563e-03	3.7282e+01	2.1121e+01	0.0000e+00	0.0000e+00
4.6875e-04	5.1563e-03	2.6656e+01	2.1677e+01	0.0000e+00	0.0000e+00
7.0313e-04	5.1563e-03	2.8304e+01	2.1469e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.1563e-03	3.4267e+01	2.1478e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.1563e-03	3.6046e+01	2.0986e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.1563e-03	3.3903e+01	2.1192e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.1563e-03	3.3626e+01	2.1361e+01	1.0000e+00	0.0000e+00
1.8750e-03	5.1563e-03	3.3092e+01	2.1378e+01	1.0000e+00	0.0000e+00
2.1094e-03	5.1563e-03	2.9833e+01	2.1341e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.1563e-03	3.2728e+01	2.1600e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.1563e-03	3.0834e+01	2.1199e+01	1.0000e+00	0.0000e+00
