# x	y	u	v	flags	mask
5.3906e-03	5.8594e-03	1.4786e+01	2.1600e+01	0.0000e+00	0.0000e+00
5.6250e-03	5.8594e-03	1.4875e+01	2.1593e+01	0.0000e+00	0.0000e+00
5.8594e-03	5.8594e-03	1.4893e+01	2.1584e+01	0.0000e+00	0.0000e+00
6.0938e-03	5.8594e-03	1.4825e+01	2.1583e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.8594e-03	1.4842e+01	2.1606e+01	0.0000e+00	0.0000e+00
6.5625e-03	5.8594e-03	1.4765e+01	2.1597e+01	0.0000e+00	0.0000e+00
6.7969e-03	5.8594e-03	1.4808e+01	2.1577e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.8594e-03	1.4853e+01	2.1577e+01	1.0000e+00	0.0000e+00
7.2656e-03	5.8594e-03	1.5080e+01	2.1733e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.6250e-03	4.4524e+01	2.1541e+01	1.0000e+00	0.0000e+00
4.6875e-04	5.6250e-03	4.4583e+01	2.1533e+01	0.0000e+00	0.0000e+00
7.0313e-04	5.6250e-03	4.4506e+01	2.1548e+01	1.0000e+00	0.0000e+00
9.3750e-04	5.6250e-03	4.4505e+01	2.1554e+01	1.0000e+00	0.0000e+00
1.1719e-03	5.6250e-03	4.4392e+01	2.1551e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.6250e-03	4.4516e+01	2.1542e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.6250e-03	4.4442e+01	2.1557e+01	1.0000e+00	0.0000e+00
1.8750e-03	5.6250e-03	4.4404e+01	2.1598e+01	0.0000e+00	0.0000e+00
2.1094e-03	5.6250e-03	4.4306e+01	2.1505e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.6250e-03	4.4351e+01	2.1463e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.6250e-03	4.3576e+01	2.1418e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.6250e-03	3.6884e+01	2.0964e+01	1.0000e+00	0.0000e+00
3.0469e-03	5.6250e-03	3.8475e+01	2.1162e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.6250e-03	2.6211e+01	2.0825e+01	1.0000e+00	0.0000e+00
3.5156e-03	5.6250e-03	1.7332e+01	2.0216e+01	0.0000e+00	0.0000e+00
3.7500e-03	5.6250e-03	1.5813e+01	2.0949e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.6250e-03	1.5498e+01	2.1539e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.6250e-03	1.5044e+01	2.1529e+01	0.0000e+00	0.0000e+00
4.4531e-03	5.6250e-03	1.4982e+01	2.1537e+01	1.0000e+00	0.0000e+00
4.6875e-03	5.6250e-03	1.4694e+01	2.1563e+01	0.0000e+00	0.0000e+00
4.9219e-03	5.6250e-03	1.4827e+01	2.1559e+01	0.0000e+00	0.0000e+00
5.1563e-03	5.6250e-03	1.4801e+01	2.1591e+01	1.0000e+00	0.0000e+00
5.3906e-03	5.6250e-03	1.4836e+01	2.1590e+01	0.0000e+00	0.0000e+00
5.6250e-03	5.6250e-03	1.4808e+01	2.1613e+01	1.0000e+00	0.0000e+00
5.8594e-03	5.6250e-03	1.4766e+01	2.1619e+01	0.0000e+00	0.0000e+00
