# x	y	u	v	flags	mask
5.1563e-03	5.8594e-03	3.0184e+01	2.1502e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.8594e-03	2.9522e+01	2.1486e+01	0.0000e+00	0.0000e+00
5.6250e-03	5.8594e-03	2.8737e+01	2.1453e+01	0.0000e+00	0.0000e+00
5.8594e-03	5.8594e-03	2.8159e+01	2.1501e+01	0.0000e+00	0.0000e+00
6.0938e-03	5.8594e-03	2.7604e+01	2.1515e+01	1.0000e+00	0.0000e+00
6.3281e-03	5.8594e-03	2.7069e+01	2.1526e+01	1.0000e+00	0.0000e+00
6.5625e-03	5.8594e-03	2.6611e+01	2.1532e+01	1.0000e+00	0.0000e+00
6.7969e-03	5.8594e-03	2.6288e+01	2.1543e+01	1.0000e+00	0.0000e+00
7.0313e-03	5.8594e-03	2.6104e+01	2.1549e+01	1.0000e+00	0.0000e+00
7.2656e-03	5.8594e-03	2.5678e+01	2.1404e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.6250e-03	4.4328e+01	2.1526e+01	1.0000e+00	0.0000e+00
4.6875e-04	5.6250e-03	4.4362e+01	2.1524e+01	1.0000e+00	0.0000e+00
7.0313e-04	5.6250e-03	4.4379e+01	2.1531e+01	1.0000e+00	0.0000e+00
9.3750e-04	5.6250e-03	4.4450e+01	2.1506e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.6250e-03	4.4454e+01	2.1562e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.6250e-03	4.4430e+01	2.1540e+01	1.0000e+00	0.0000e+00
1.6406e-03	5.6250e-03	4.4412e+01	2.1563e+01	0.0000e+00	0.0000e+00
1.8750e-03	5.6250e-03	4.4472e+01	2.1434e+01	0.0000e+00	0.0000e+00
2.1094e-03	5.6250e-03	4.4377e+01	2.1479e+01	1.0000e+00	0.0000e+00
2.3438e-03	5.6250e-03	4.4419e+01	2.1435e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.6250e-03	4.4409e+01	2.1388e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.6250e-03	4.3370e+01	2.1430e+01	1.0000e+00	0.0000e+00
3.0469e-03	5.6250e-03	4.3483e+01	2.1456e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.6250e-03	4.1036e+01	2.1467e+01	0.0000e+00	0.0000e+00
3.5156e-03	5.6250e-03	3.9077e+01	2.1508e+01	1.0000e+00	0.0000e+00
3.7500e-03	5.6250e-03	3.7191e+01	2.1531e+01	1.0000e+00	0.0000e+00
3.9844e-03	5.6250e-03	3.5080e+01	2.1526e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.6250e-03	3.3969e+01	2.1555e+01	0.0000e+00	0.0000e+00
4.4531e-03	5.6250e-03	3.2814e+01	2.1619e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.6250e-03	3.1863e+01	2.1532e+01	0.0000e+00	0.0000e+00
4.9219e-03	5.6250e-03	3.0932e+01	2.1563e+01	0.0000e+00	0.0000e+00
5.1563e-03	5.6250e-03	3.0155e+01	2.1613e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.6250e-03	2.9525e+01	2.1512e+01	1.0000e+00	0.0000e+00
5.6250e-03	5.6250e-03	2.8706e+01	2.1418e+01	0.0000e+00	0.0000e+00
5.8594e-03	5.6250e-03	2.8133e+01	2.1490e+01	0.0000e+00	0.0000e+00
